success,status,gemarkung,flur,a_datum,a_datum_dmy,quartal,gemeinde,ogc_fid,type
true,true,Willingrade,014574001,2023-11-06,06.11.2023,11_2023,Groß Kummerfeld,4201,alkis
true,true,Bargum,011504007,2023-11-06,06.11.2023,11_2023,Bargum,4202,alkis
true,true,Ottendorf,010575001,2023-11-06,06.11.2023,11_2023,Süsel,4203,alkis
true,true,Delve,013310002,2023-11-06,06.11.2023,11_2023,Delve,4204,alkis
true,true,Todendorf,014188003,2023-11-06,06.11.2023,11_2023,Fehmarn,4205,alkis
true,true,Noer,010296005,2023-11-06,06.11.2023,11_2023,Noer,4206,alkis
true,true,Willenscharen,012133005,2023-11-06,06.11.2023,11_2023,Willenscharen,4207,alkis
true,true,Wulfsdorf,013537001,2023-11-06,06.11.2023,11_2023,"Lübeck, Hansestadt",4208,alkis
true,true,Horsbüll,015527006,2023-11-06,06.11.2023,11_2023,Emmelsbüll-Horsbüll,4209,alkis
true,true,Traventhal,019036005,2023-11-06,06.11.2023,11_2023,Traventhal,4210,alkis
true,true,Henstedt,019047001,2023-11-06,06.11.2023,11_2023,Henstedt-Ulzburg,4211,alkis
true,true,Langwedel,010240005,2023-11-06,06.11.2023,11_2023,Langwedel,4212,alkis
true,true,Alt Bennebek,018001008,2023-11-06,06.11.2023,11_2023,Alt Bennebek,4213,alkis
true,true,Hamdorf,010154004,2023-11-06,06.11.2023,11_2023,Hamdorf,4214,alkis
true,true,Pellworm,011567027,2023-11-06,06.11.2023,11_2023,Pellworm,4215,alkis
true,true,Faulück,018034001,2023-11-06,06.11.2023,11_2023,Rabenkirchen-Faulück,4216,alkis
true,true,Sollerup,011130012,2023-11-06,06.11.2023,11_2023,Sollerup,4217,alkis
true,true,Gaarz,014043005,2023-11-06,06.11.2023,11_2023,Göhl,4218,alkis
true,true,Löhrstorf,014107003,2023-11-06,06.11.2023,11_2023,Neukirchen,4219,alkis
true,true,Moorrege,016554002,2023-11-06,06.11.2023,11_2023,Moorrege,4220,alkis
true,true,Eggstedt,013025008,2023-11-06,06.11.2023,11_2023,Eggstedt,4221,alkis
true,true,Langeln,016550006,2023-11-06,06.11.2023,11_2023,Langeln,4222,alkis
true,true,Götzberg,019033002,2023-11-06,06.11.2023,11_2023,Henstedt-Ulzburg,4223,alkis
true,true,Grauel,010128005,2023-11-06,06.11.2023,11_2023,Grauel,4224,alkis
true,true,Kollmar,012060030,2023-11-06,06.11.2023,11_2023,Kollmar,4225,alkis
true,true,Bossee,012605001,2023-11-06,06.11.2023,11_2023,Bredenbek,4226,alkis
true,true,Hillgroven,013408004,2023-11-06,06.11.2023,11_2023,Norddeich,4227,alkis
true,true,Rickert,010353001,2023-11-06,06.11.2023,11_2023,Rickert,4228,alkis
true,true,Presen,014139002,2023-11-06,06.11.2023,11_2023,Fehmarn,4229,alkis
true,true,Alt Duvenstedt,010006003,2023-11-06,06.11.2023,11_2023,Alt Duvenstedt,4230,alkis
true,true,Oldenswort,011614023,2023-11-06,06.11.2023,11_2023,Oldenswort,4231,alkis
true,true,Winseldorf,012136003,2023-11-06,06.11.2023,11_2023,Winseldorf,4232,alkis
true,true,Güster,017093002,2023-11-06,06.11.2023,11_2023,Güster,4233,alkis
true,true,Behrendorf,011506004,2023-11-06,06.11.2023,11_2023,Behrendorf,4234,alkis
true,true,Bistoft,011167002,2023-11-06,06.11.2023,11_2023,Großsolt,4235,alkis
true,true,Gaarden,012505005,2023-11-06,06.11.2023,11_2023,"Kiel, Landeshauptstadt",4236,alkis
true,true,Negernbötel,019080007,2023-11-06,06.11.2023,11_2023,Negernbötel,4237,alkis
true,true,Stapelfeld,015119005,2023-11-06,06.11.2023,11_2023,Stapelfeld,4238,alkis
true,true,Neustadt,014126008,2023-11-06,06.11.2023,11_2023,Neustadt in Holst.,4239,alkis
true,true,Eichede,015025001,2023-11-06,06.11.2023,11_2023,Steinburg,4240,alkis
true,true,Alveslohe,019003005,2023-11-06,06.11.2023,11_2023,Alveslohe,4241,alkis
true,true,Klinkrade,017136003,2023-11-06,06.11.2023,11_2023,Klinkrade,4242,alkis
true,true,Karolinenkoog,013332001,2023-11-06,06.11.2023,11_2023,Karolinenkoog,4243,alkis
true,true,Schönkirchen,012739001,2023-11-06,06.11.2023,11_2023,Schönkirchen,4244,alkis
true,true,Groß Rolübbe,016059003,2023-11-06,06.11.2023,11_2023,Kletkamp,4245,alkis
true,true,Holt,011170008,2023-11-06,06.11.2023,11_2023,Holt,4246,alkis
true,true,Ottendorf,012619005,2023-11-06,06.11.2023,11_2023,Ottendorf,4247,alkis
true,true,Badendorf,015007006,2023-11-06,06.11.2023,11_2023,Badendorf,4248,alkis
true,true,Alt Duvenstedt,010006017,2023-11-06,06.11.2023,11_2023,Alt Duvenstedt,4249,alkis
true,true,Kisdorf,019062005,2023-11-06,06.11.2023,11_2023,Kisdorf,4250,alkis
true,true,Schmilau,017240009,2023-11-06,06.11.2023,11_2023,Schmilau,4251,alkis
true,true,Havekost,017105004,2023-11-06,06.11.2023,11_2023,Havekost,4252,alkis
true,true,Götheby,010123006,2023-11-06,06.11.2023,11_2023,Fleckeby,4253,alkis
true,true,Peissen,012095007,2023-11-06,06.11.2023,11_2023,Peissen,4254,alkis
true,true,Brunsbüttel,013016023,2023-11-06,06.11.2023,11_2023,Brunsbüttel,4255,alkis
true,true,Bollingstedt,018012009,2023-11-06,06.11.2023,11_2023,Bollingstedt,4256,alkis
true,true,Koberg,017137007,2023-11-06,06.11.2023,11_2023,Koberg,4257,alkis
true,true,Harzhof,010159002,2023-11-06,06.11.2023,11_2023,Holtsee,4258,alkis
true,true,Grüntal,010146003,2023-11-06,06.11.2023,11_2023,Dörphof,4259,alkis
true,true,Ottendorf,010575002,2023-11-06,06.11.2023,11_2023,Süsel,4260,alkis
true,true,Dörphof,010082002,2023-11-06,06.11.2023,11_2023,Dörphof,4261,alkis
true,true,Klein Rheide,018064009,2023-11-06,06.11.2023,11_2023,Klein Rheide,4262,alkis
true,true,Sibbersdorf,010594001,2023-11-06,06.11.2023,11_2023,Eutin,4263,alkis
true,true,Schülp,013359009,2023-11-06,06.11.2023,11_2023,Schülp,4264,alkis
true,true,Borghorst,010048001,2023-11-06,06.11.2023,11_2023,Osdorf,4265,alkis
true,true,Missunde,010274002,2023-11-06,06.11.2023,11_2023,Kosel,4266,alkis
true,true,Lohe,013059002,2023-11-06,06.11.2023,11_2023,Lohe-Rickelshof,4267,alkis
true,true,Stegen,015121001,2023-11-06,06.11.2023,11_2023,Bargfeld-Stegen,4268,alkis
true,true,Heiderfeld,019045001,2023-11-06,06.11.2023,11_2023,Leezen,4269,alkis
true,true,Postfeld,016133006,2023-11-06,06.11.2023,11_2023,Postfeld,4270,alkis
true,true,Hattstedtermarsch,011527023,2023-11-06,06.11.2023,11_2023,Hattstedtermarsch,4271,alkis
