success,status,gemarkung,flur,a_datum,a_datum_dmy,quartal,gemeinde,ogc_fid,type
true,true,Satjendorf,016157002,2023-11-06,06.11.2023,11_2023,Panker,1112,alkis
true,true,Strukdorf,019111003,2023-11-06,06.11.2023,11_2023,Strukdorf,1113,alkis
true,true,Wittenberger-Passau,016207005,2023-11-06,06.11.2023,11_2023,Martensrade,1114,alkis
true,true,Meldorf,013061001,2023-11-06,06.11.2023,11_2023,Meldorf,1115,alkis
true,true,Humptrup,015528003,2023-11-06,06.11.2023,11_2023,Humptrup,1116,alkis
true,true,Wilstedt,015147013,2023-11-06,06.11.2023,11_2023,Tangstedt,1117,alkis
true,true,Klein Bennebek,018061011,2023-11-06,06.11.2023,11_2023,Klein Bennebek,1118,alkis
true,true,Schmoel,016164001,2023-11-06,06.11.2023,11_2023,Schwartbuck,1119,alkis
true,true,Wittenwurth,013384003,2023-11-06,06.11.2023,11_2023,Stelle-Wittenwurth,1120,alkis
true,true,Wittbek,011595002,2023-11-06,06.11.2023,11_2023,Wittbek,1121,alkis
true,true,Dollerup,011013005,2023-11-06,06.11.2023,11_2023,Dollerup,1122,alkis
true,true,Padenstedt,014555001,2023-11-06,06.11.2023,11_2023,Padenstedt,1123,alkis
true,true,Nienwohld,015086003,2023-11-06,06.11.2023,11_2023,Nienwohld,1124,alkis
true,true,Klostersee,014089002,2023-11-06,06.11.2023,11_2023,Grömitz,1125,alkis
true,true,Westre,015566007,2023-11-06,06.11.2023,11_2023,Westre,1126,alkis
true,true,Poppenbüll,011618013,2023-11-06,06.11.2023,11_2023,Poppenbüll,1127,alkis
true,true,Appen,016501018,2023-11-06,06.11.2023,11_2023,Appen,1128,alkis
true,true,Stellau,015125005,2023-11-06,06.11.2023,11_2023,Barsbüttel,1129,alkis
true,true,Langstedt,011172010,2023-11-06,06.11.2023,11_2023,Langstedt,1130,alkis
true,true,Schwabstedt,011577001,2023-11-06,06.11.2023,11_2023,Schwabstedt,1131,alkis
true,true,Glasau,019030019,2023-11-06,06.11.2023,11_2023,Glasau,1132,alkis
true,true,Stockelsdorf,010601004,2023-11-06,06.11.2023,11_2023,Stockelsdorf,1133,alkis
true,true,Jerrishoe,011065001,2023-11-06,06.11.2023,11_2023,Jerrishoe,1134,alkis
